ARBITRAGE_QUANTITY,DEFAULT_SPREAD_MEAN,KELP_BETA,KELP_MM_EDGE,KELP_TAKE_WIDTH,LATE_DAY_SIZE_FACTOR,LATE_DAY_SPREAD_FACTOR,LATE_DAY_TIMESTAMP,RESIN_MM_EDGE,RESIN_TAKE_WIDTH,ROLLING_WINDOW,SQUID_BETA,SQUID_LONG_EMA_WINDOW,SQUID_MM_EDGE,SQUID_MOMENTUM_THRESHOLD,SQUID_SHORT_EMA_WINDOW,SQUID_TAKE_WIDTH,SQUID_TREND_BIAS,SQUID_TREND_THRESHOLD,SQUID_VOL_THRESHOLD,ZSCORE_THRESHOLD,profit
5,36,0.30300571298531387,1.3812689531635705,1.2194640193118143,0.9300425157396639,2.078932453183536,859240,1.1628984227589514,6.516053128535752,38,0.6156010658589188,46,4.815325835294021,14.02150689056324,9,1.8685809054605782,1.151633017114246,3.8355998309563812,26,5.511260577059387,69254
18,43,0.11353958367076744,1.7931640054969262,2.2818286332413455,0.6201271123239247,1.4897402142244351,831771,1.2599839808039166,12.38163611084036,76,0.2806441067205815,25,5.0683922723175945,11.351966029827935,7,6.723405390595563,0.5630937587505321,3.6694412526954068,24,7.763982806411216,68353
8,95,0.7319939418114051,1.397987726295555,1.624074561769746,0.5779972601681014,1.0871254182522991,886618,2.2022300234864174,12.080725777960454,12,0.9699098521619943,45,2.9110519961044856,6.818249672071007,4,3.7381801866358395,1.024756431632238,2.4437525838895207,12,7.282970263056656,41414
4,29,0.3663618432936917,1.1841049763255538,4.140703845572054,0.5998368910791798,1.7713516576204174,859241,1.0929008254399954,11.075448519014383,25,0.06505159298527952,48,9.690688297671034,13.08397348116461,5,1.8790490260574548,1.1842330265121568,2.480686221828206,8,6.466238370778891,37776
2,91,0.2587799816000169,1.4937834265309728,2.246844304357644,0.7600340105889054,1.8200654190149195,818485,2.939169255529117,12.751328233611146,95,0.8948273504276488,38,9.296868115208051,5.884925020519195,4,1.4070456001948426,0.8253303307632643,2.249047803602669,12,8.801162564063505,38630
8,28,0.5426960831582485,0.711386337462144,4.208787923016159,0.5372753218398854,2.480330404900776,877224,1.3974313630683448,5.055221171236024,83,0.7068573438476171,42,7.941433120173512,5.740446517340904,6,2.0428215357261674,1.3631034258755936,3.304841570724011,13,3.4449084520021653,34066
7,33,0.7296061783380641,1.4563362070328196,4.548850970305306,0.7361074625809747,1.1793913689074524,871324,2.521570097233795,10.612771975694962,79,0.49379559636439074,36,4.847869165226946,5.254191267440952,4,1.2828626711806081,1.1364104112637805,1.91460191484347,18,9.352965317482651,39032
8,1,0.7606090453790295,1.0702378922188984,4.9539018656559035,0.6479966477647863,2.4683220411420086,897340,1.6920198591865225,14.03932409525676,13,0.06700021697669245,41,6.693063667668774,6.350022463139966,4,4.273896819458342,0.6667933791223093,2.251895141931289,6,7.605085528180712,40182
2,36,0.33364429091413106,0.5500979879667083,3.6788720230512544,0.8847941188424446,1.0531144136510213,873560,1.112922158833733,11.012114514773955,39,0.6819212869122727,49,3.6539019825858987,6.808357005659312,7,8.26928753018792,0.5310569587411323,3.363978212613106,21,5.662247114840781,35370
12,56,0.7249920297620259,1.6630208598131901,1.176061693113597,0.6895218876572674,2.4529190503458267,852630,2.3236800931704655,11.826705295738112,74,0.39405022795790756,21,8.980869048059894,11.388697341872229,5,3.307167195325754,0.6711486626367894,4.578318093647838,23,8.801498323572615,41332
8,22,0.653251361671332,1.8095526798580657,1.1036504934669251,0.5575309541217612,2.456969720695599,834314,2.2050798494492945,11.167888969176271,71,0.29830515531709867,45,5.083782563848074,8.393005851260643,9,8.535784884445093,1.465701885910176,3.3884897597201142,16,9.920240500418988,40630
16,35,0.595759743282925,1.5791292341687375,3.262148494362877,0.9615506351006933,2.2163849427197677,836388,2.9171565050685677,6.289455859566917,11,0.8988519674112566,31,7.193470483247591,8.935937822455607,8,7.464441355641448,0.5914254558187843,0.9811903815977998,9,5.872029500552588,39602
